Komponen,BAU,RE,AR
Biaya Sosial Karbon (Social Cost of Carbon),-7644.1,-1744.54,-1744.54
Biaya Penggunaan Air (Water Use Cost),-5.15,0.0,0.0
Perbaikan Kualitas Udara (Smog Visual Improvements),0.0,124.03,124.03
Perbaikan Kualitas Air (Water Quality/Mercury Reduction),0.0,190.78,190.78
Biaya Kesehatan Masyarakat (Public Health Damage Cost),-324.81,0.0,0.0
Subsidi Listrik Batubara (Coal Electric Subsidies),-498.5,0.0,0.0
Pendapatan (Revenue),842.99,0.0,842.99
Pendapatan Batubara Daerah (State Coal Revenue),192.32,0.0,0.0
Pajak PLTU/Solar (Tax Revenue),106.49,0.0,106.49
Ekonomi Pedesaan (Rural Economies),5.94,2.74,5.94
Biaya Pembangkitan Listrik (Total Generation Cost),-358.93,0.0,-239.13
Aset Terdampar (Total Stranded Assets),0.0,-205.44,-205.44
Biaya Decommissioning (Total Decommissioning Costs),0.0,-15.47,-15.47
Dampak Lapangan Kerja (Labor Market Income Losses/Job Creation),0.0,-9.52,23.81
Biaya Integrasi Grid EBT (Integration and Grid Cost of Renewable),0.0,0.0,-215.34
Dukungan Fiskal Pengangguran (Fiscal Support for Job Losses),0.0,-0.78,0.0
Kerugian Kawasan Industri (Industrial Zone Income Losses),0.0,-7484.56,0.0
