pathway,from_region,to_region,from_country,to_country,max_flow,min_flow,voltage,distance,year_planned,source_1,source_2,assumptions,other_notes
TRNAUSWAIDNNU,AUSWA,IDNNU,AUS,IDN,0,0,-,-,-,https://www.internationalaffairs.org.au/australianoutlook/the-cable-connection-australia-and-indonesias-shared-journey-to-net-zero-emissions/,https://aemo.com.au/-/media/files/major-publications/isp/2023/2023-transmission-expansion-options-report.pdf?la=en,-,No 'Anticipated/Committed' or 'Actionable' planned projects in AEMO 2023 Transmission Expansion Options Report.
TRNBRNXXMYSSK,BRNXX,MYSSK,BRN,MYS,0,0,-,-,-,https://bimp-eaga.asia/article/energy-ministers-push-expansion-asean-power-grid-and-trans-asean-gas-pipeline,https://asean.org/joint-statement-of-brunei-darussalam-indonesia-malaysia-and-the-philippines-power-integration-project-bimp-pip/,-,"In September 2023 the BIMP countries (Brunei Darussalam, Indonesia, Malaysia and the Philippines) agreed on launching a pilot project to study cross-border power trade amongst themselves as part of the ASEAN power grid developments. However, as of yet no concrete plans exist for specific transmission projects between BRN and MYS."
TRNIDNJWIDNKA,IDNJW,IDNKA,IDN,IDN,0,0,-,-,-,https://iesr.or.id/wp-content/uploads/2019/04/COMS-PUB-0021_A-Roadmap-for-Indonesia_s-Power-Sector.pdf,https://gatrik.esdm.go.id/assets/uploads/download_index/files/38622-ruptl-pln-2021-2030.pdf,-,No mentioning of existing or planned transmission lines outside the Java-Sumatra-Nusa Tenggara boundaries.
TRNIDNJWIDNNU,IDNJW,IDNNU,IDN,IDN,1600,1600,500,220,-,https://iesr.or.id/wp-content/uploads/2019/04/COMS-PUB-0021_A-Roadmap-for-Indonesia_s-Power-Sector.pdf,https://gatrik.esdm.go.id/assets/uploads/download_index/files/38622-ruptl-pln-2021-2030.pdf,"Indicated transfer limit of 2000 MW between Bali and Java as of 2020 following the IESR study, however following the 2021-2030 National Electricity Supply Business Plan of the Indonesian government the new 500 kv, 220 km, 1600 MW project is still marked as in development with no indicated final completetion year. Existing capacity is therefore considered to be 400 MW.",-
TRNIDNJWIDNSM,IDNJW,IDNSM,IDN,IDN,3000,3000,500,1070,-,https://iesr.or.id/wp-content/uploads/2019/04/COMS-PUB-0021_A-Roadmap-for-Indonesia_s-Power-Sector.pdf,https://gatrik.esdm.go.id/assets/uploads/download_index/files/38622-ruptl-pln-2021-2030.pdf,"Indicated transfer limit of 3000 MW between Sumatra and Java as of 2024 following the IESR study, however following the 2021-2030 The National Electricity Supply Business Plan of the Indonesian government the project is still marked as in development. Further reports state that the project is considered a priority project within the upcoming 2024-2034 long-term electricity procurement plan (https://www.thejakartapost.com/business/2023/11/21/ri-eyes-building-java-sumatra-power-transmission-project-with-jetp-funding.html) however no confirmed completion year to be found as of yet. ",-
TRNIDNKAIDNSL,IDNKA,IDNSL,IDN,IDN,0,0,-,-,-,https://iesr.or.id/wp-content/uploads/2019/04/COMS-PUB-0021_A-Roadmap-for-Indonesia_s-Power-Sector.pdf,https://gatrik.esdm.go.id/assets/uploads/download_index/files/38622-ruptl-pln-2021-2030.pdf,-,No mentioning of existing or planned transmission lines outside the Java-Sumatra-Nusa Tenggara boundaries.
TRNIDNKAMYSSH,IDNKA,MYSSH,IDN,MYS,0,0,-,-,-,https://iopscience.iop.org/article/10.1088/1755-1315/997/1/012011/pdf,https://gatrik.esdm.go.id/assets/uploads/download_index/files/38622-ruptl-pln-2021-2030.pdf,-,No new planned projects visible within the the 2021-2030 The National Electricity Supply Business Plan of the Indonesian government.
TRNIDNKAMYSSK,IDNKA,MYSSK,IDN,MYS,0,0,-,-,-,https://iopscience.iop.org/article/10.1088/1755-1315/997/1/012011/pdf,https://gatrik.esdm.go.id/assets/uploads/download_index/files/38622-ruptl-pln-2021-2030.pdf,-,No new planned projects visible within the the 2021-2030 The National Electricity Supply Business Plan of the Indonesian government.
TRNIDNMLIDNPP,IDNML,IDNPP,IDN,IDN,0,0,-,-,-,https://iesr.or.id/wp-content/uploads/2019/04/COMS-PUB-0021_A-Roadmap-for-Indonesia_s-Power-Sector.pdf,https://gatrik.esdm.go.id/assets/uploads/download_index/files/38622-ruptl-pln-2021-2030.pdf,-,No mentioning of existing or planned transmission lines outside the Java-Sumatra-Nusa Tenggara boundaries.
TRNIDNMLIDNSL,IDNML,IDNSL,IDN,IDN,0,0,-,-,-,https://iesr.or.id/wp-content/uploads/2019/04/COMS-PUB-0021_A-Roadmap-for-Indonesia_s-Power-Sector.pdf,https://gatrik.esdm.go.id/assets/uploads/download_index/files/38622-ruptl-pln-2021-2030.pdf,-,No mentioning of existing or planned transmission lines outside the Java-Sumatra-Nusa Tenggara boundaries.
